OIB,Ime,Prezime,Drzava,Grad,Postanski broj,Ulica,Kucni broj,Dodatak,Datum rodenja,Premium
12345678910,Pero,Peric,Hrvatska,Zagreb,10000,Ilica,1,,01.01.1990 12:00:00,NE
12390856732,Ivana,Ivic,Hrvatska,Osijek,31000,Zagrebacka,18A,"1. kat, 2. ulaz",01.01.1999 12:00:00,DA
67813290854,Marko,Markovic,Slovenija,Maribor,15000,Ljubljanska,8C,"18. kat, 1. ulaz",01.01.1980 12:00:00,NE
12387645634,Ivan,Ivanovic,Francuska,Paris,12372,Croatian,13F,6. floor,01.01.1970 12:00:00,DA
67813290854,Josip,Josipovic,USA,New York,10001,Park Avenue,8G,1. floor,01.01.1960 12:00:00,NE
12345678910,Pero,Peric,Hrvatska,Zagreb,10000,Ilica,1,,01.01.1990 12:00:00,NE
12390856732,Ivana,Ivic,Hrvatska,Osijek,31000,Zagrebacka,18A,"1. kat, 2. ulaz",01.01.1999 12:00:00,DA
67813290854,Marko,Markovic,Slovenija,Maribor,15000,Ljubljanska,8C,"18. kat, 1. ulaz",01.01.1980 12:00:00,NE
12387645634,Ivan,Ivanovic,Francuska,Paris,12372,Croatian,13F,6. floor,01.01.1970 12:00:00,DA
67813290854,Josip,Josipovic,USA,New York,10001,Park Avenue,8G,1. floor,01.01.1960 12:00:00,NE
